cluster,easy,normal,hard,expert,master,append
0,138,116,6,0,0,0
1,0,0,14,106,56,3
2,6,10,17,5,1,0
3,107,106,3,0,0,0
4,2,2,1,1,2,0
5,0,0,1,35,32,7
6,0,0,0,3,12,14
7,0,0,1,9,20,0
8,0,0,5,78,64,5
9,0,0,0,0,1,1
10,0,0,19,22,14,0
11,0,0,15,81,28,3
12,0,7,121,9,1,0
13,144,145,3,0,0,0
14,2,0,0,0,0,0
15,0,1,20,19,19,3
16,130,112,1,0,0,0
17,0,0,0,8,34,8
18,42,38,10,0,0,0
19,0,0,0,3,11,8
20,0,6,92,15,1,0
21,0,7,125,36,2,0
22,0,0,0,0,1,5
23,0,0,0,11,55,16
24,0,10,110,14,0,0
25,0,0,2,39,70,12
26,0,0,12,8,4,0
27,0,0,0,0,0,1
28,0,0,1,28,60,7
29,0,0,0,10,12,1
30,0,0,1,48,85,14
31,29,29,8,0,0,0
32,0,0,0,4,7,10
33,0,4,7,6,2,1
