cluster,<200,<400,<600,<800,<1000,<1200,<1500,<2000,2000+
0,88,151,21,0,0,0,0,0,0
1,0,0,0,12,92,70,5,0,0
2,1,13,17,8,0,0,0,0,0
3,12,107,89,8,0,0,0,0,0
4,2,1,2,0,2,1,0,0,0
5,0,0,0,26,44,5,0,0,0
6,0,0,0,0,0,0,7,19,3
7,0,0,1,9,16,4,0,0,0
8,0,0,0,15,104,33,0,0,0
9,0,0,0,0,0,0,0,0,2
10,0,0,0,1,19,28,7,0,0
11,0,0,1,45,79,2,0,0,0
12,0,0,63,74,1,0,0,0,0
13,55,181,56,0,0,0,0,0,0
14,2,0,0,0,0,0,0,0,0
15,0,2,30,25,5,0,0,0,0
16,28,152,63,0,0,0,0,0,0
17,0,0,0,0,2,9,32,7,0
18,37,51,2,0,0,0,0,0,0
19,0,0,0,1,3,5,7,6,0
20,0,0,12,61,40,1,0,0,0
21,0,1,83,84,2,0,0,0,0
22,0,0,0,0,0,0,1,1,4
23,0,0,0,0,9,47,24,2,0
24,0,0,29,89,16,0,0,0,0
25,0,0,0,0,7,42,71,3,0
26,0,0,10,9,4,1,0,0,0
27,0,0,0,0,0,0,1,0,0
28,0,0,0,0,12,47,36,1,0
29,0,0,0,0,0,1,15,7,0
30,0,0,0,0,46,75,27,0,0
31,1,15,31,14,5,0,0,0,0
32,0,0,0,0,0,0,3,14,4
33,0,4,6,6,4,0,0,0,0
