cluster,num_songs,difficulties,min_difficulty,max_difficulty,mean_difficulty,variance_difficulty,min_notes,max_notes,mean_notes,variance_notes
0,138,"easy, hard, normal",5,19,8.811538461538461,11.026121176121174,74,532,250.6076923076923,8775.860944460941
1,139,"append, expert, hard, master",17,32,26.134078212290504,9.251584960140601,718,1250,972.8826815642458,13865.250204004758
2,32,"easy, expert, hard, master, normal",6,27,15.435897435897436,27.19973009446694,187,675,445.5897435897436,17454.45883940621
3,115,"easy, hard, normal",7,18,10.824074074074074,6.229371231696797,120,729,385.4074074074074,14199.051851851853
4,3,"easy, expert, hard, master, normal",5,29,17.0,85.71428571428571,141,1131,563.875,131328.69642857142
5,49,"append, expert, hard, master",18,31,26.053333333333335,5.780900900900904,673,1126,847.2933333333333,9557.264144144143
6,24,"append, expert, master",31,37,33.06896551724138,3.8522167487684738,1343,2500,1694.7586206896551,70946.61822660103
7,22,"expert, hard, master",17,32,26.6,8.455172413793097,589,1062,847.6333333333333,15276.516091954016
8,117,"append, expert, hard, master",17,31,25.79605263157895,5.964752527012886,667,1175,918.7236842105264,10024.267514813506
9,2,"append, master",37,37,37.0,0.0,2015,2173,2094.0,12482.0
10,39,"expert, hard, master",18,31,25.21818181818182,14.544107744107757,723,1292,1037.4363636363637,18407.991245791232
11,107,"append, expert, hard, master",16,29,24.480314960629922,8.727784026996602,597,1062,834.8425196850394,7386.498812648418
12,126,"expert, hard, master, normal",12,26,17.71014492753623,4.995662752565311,405,885,613.1594202898551,8523.186078493582
13,157,"easy, hard, normal",5,16,9.445205479452055,9.333757002306633,116,595,296.9657534246575,9889.215317987111
14,2,easy,6,7,6.5,0.5,137,142,139.5,12.5
15,31,"append, expert, hard, master, normal",13,30,21.677419354838708,17.00898995240615,318,868,600.1935483870968,15024.453728186143
16,132,"easy, hard, normal",6,17,9.91358024691358,7.087542087542108,113,582,330.10699588477365,10991.451314491731
17,46,"append, expert, master",26,36,29.48,4.622040816326544,879,1812,1333.7,30657.969387755136
18,42,"easy, hard, normal",5,16,9.2,14.02696629213483,104,440,232.0222222222222,7435.010736579278
19,20,"append, expert, master",24,35,29.954545454545453,6.235930735930731,607,1888,1288.1818181818182,87581.39393939394
20,99,"expert, hard, master, normal",13,29,18.982456140350877,8.477565595404444,491,1109,748.8333333333334,13232.971976401164
21,137,"expert, hard, master, normal",11,28,18.4,9.377514792899412,357,885,600.4411764705883,9570.662199791172
22,6,"append, master",26,38,34.5,20.3,1245,2800,2103.5,349844.29999999993
23,70,"append, expert, master",24,34,28.28048780487805,3.5376392652815363,805,1765,1143.060975609756,20713.539445950013
24,117,"expert, hard, normal",12,26,18.26865671641791,6.558859836157533,475,917,683.2164179104477,9650.005442711268
25,91,"append, expert, hard, master",22,35,29.211382113821138,5.758230041316811,898,1600,1251.3495934959349,20377.06530721046
26,19,"expert, hard, master",15,30,21.041666666666668,20.215579710144898,457,1188,669.9583333333334,36591.34601449276
27,1,append,32,32,32.0,,1388,1388,1388.0,
28,82,"append, expert, hard, master",19,33,28.520833333333332,5.5995614035087495,852,1500,1160.7291666666667,19051.10482456141
29,16,"append, expert, master",24,36,30.08695652173913,9.446640316205531,1189,1948,1458.695652173913,30713.94861660076
30,113,"append, expert, hard, master",23,33,27.864864864864863,5.246920389777504,825,1429,1074.0135135135135,16928.394373965817
31,30,"easy, hard, normal",8,18,12.015151515151516,9.676689976689964,166,951,525.1363636363636,29454.119580419574
32,19,"append, expert, master",29,37,33.333333333333336,4.633333333333332,1396,2357,1774.3333333333333,57583.233333333264
33,15,"append, expert, hard, master, normal",11,28,19.35,31.292105263157918,227,945,571.65,41183.50263157896
